YY,XX,wav,flux,flux_err,fwhm,vel
0,149.0,142.0,6580.78,0.3242967,396.46462,243.1366,0.0
1,150.0,142.0,6559.6,0.029180257,800.70227,104.53707,0.0
2,151.0,142.0,6580.8,0.34979763,383.60696,234.21337,0.0
3,152.0,142.0,6580.8,0.38642794,390.76919,244.16265,0.0
4,153.0,142.0,6581.0,0.36881469,367.5532,232.01995,0.0
5,154.0,142.0,6581.02,0.37756569,374.08831,228.95256,0.0
6,155.0,142.0,6580.9,0.40974217,363.53428,226.23543,0.0
7,156.0,142.0,6580.9,0.43057552,367.92448,224.43804,0.0
8,157.0,142.0,6580.85,0.40241172,388.75894,217.74739,0.0
9,158.0,142.0,6581.0,0.38588829,349.39871,201.33082,0.0
10,159.0,142.0,6581.0,0.3883073,328.45477,191.82752,0.0
11,160.0,142.0,6581.3,0.212663,359.7773,138.66309,0.0
12,161.0,142.0,6581.3,0.20130209,401.31337,145.46663,0.0
13,162.0,142.0,6581.22,0.28744345,436.96531,206.20367,0.0
14,163.0,142.0,6581.4,0.23332907,447.09826,177.48249,0.0
15,164.0,142.0,6581.5,0.16521716,574.1569,163.45169,0.0
16,165.0,142.0,6581.5,0.14143594,660.30101,166.15646,0.0
17,166.0,142.0,6581.6,0.14875149,670.56702,160.37457,0.0
18,167.0,142.0,6581.7,0.14202501,722.48328,165.66309,0.0
19,168.0,142.0,6581.7,0.15087095,775.69809,168.19061,0.0
20,169.0,142.0,6581.8,0.1845437,629.8245,183.09183,0.0
21,170.0,142.0,6581.9,0.19336421,626.74553,192.48966,0.0
22,171.0,142.0,6582.2,0.20549875,663.40395,207.38491,0.0
23,172.0,142.0,6582.0,0.18496705,572.29943,193.29926,0.0
24,173.0,142.0,6582.2,0.18009367,662.75042,209.48614,0.0
25,174.0,142.0,6582.6,0.20250822,817.97978,230.88099,0.0
26,148.0,143.0,6580.4,0.45006995,309.11193,258.82076,0.0
27,149.0,143.0,6580.4,0.42576842,349.01432,248.16942,0.0
28,150.0,143.0,6580.3,0.447436,366.52129,258.83697,0.0
29,151.0,143.0,6580.4,0.49090464,350.25309,266.0955,0.0
30,152.0,143.0,6580.6,0.4902393,360.16703,265.85785,0.0
31,153.0,143.0,6580.8,0.45844299,344.89514,245.77702,0.0
32,154.0,143.0,6580.8,0.48735441,315.44383,238.65496,0.0
33,155.0,143.0,6580.8,0.48355717,332.2642,231.8338,0.0
34,156.0,143.0,6580.8,0.44996835,533.12104,218.2839,0.0
35,157.0,143.0,6581.1,0.36340795,354.0191,187.95289,0.0
36,158.0,143.0,6581.0,0.43513908,338.01118,194.333,0.0
37,159.0,143.0,6581.2,0.36502487,350.19721,188.77552,0.0
38,160.0,143.0,6581.3,0.3182722,329.93342,173.27093,0.0
39,161.0,143.0,6581.2,0.34735722,356.57661,196.42898,0.0
40,162.0,143.0,6581.3,0.34321079,330.97884,186.7497,0.0
41,163.0,143.0,6581.5,0.19390674,458.63835,149.66718,0.0
42,164.0,143.0,6581.2,0.24208426,400.26336,179.3652,0.0
43,165.0,143.0,6581.4,0.2287927,459.19948,195.82206,0.0
44,166.0,143.0,6581.7,0.22228114,472.84436,183.33014,0.0
45,167.0,143.0,6581.8,0.21004579,511.26292,192.10087,0.0
46,168.0,143.0,6581.6,0.19363495,461.83109,168.44124,0.0
47,169.0,143.0,6581.7,0.22040052,438.77866,176.55344,0.0
48,170.0,143.0,6581.9,0.20341113,471.80778,179.06643,0.0
49,171.0,143.0,6582.0,0.1915512,543.11638,191.05041,0.0
50,172.0,143.0,6582.2,0.21023003,568.0073,201.83354,0.0
51,173.0,143.0,6582.4,0.20435197,646.27408,210.82299,0.0
52,174.0,143.0,6582.6,0.22423407,793.00389,237.50736,0.0
53,148.0,144.0,6580.0,0.5617122,283.83899,246.94025,0.0
