#YY	XX	wav	flux		flux_err	fwhm		vel
149	142	6553.00	0.11663104	914.63159 	136.99325	275.68294
150	142	6576.00	0.062109921	466.75943	421.63891	0.0000000
151	142   	6553.00	0.14616472  	1652.4032  	766.42252 	190.09743
152	142	6557.80	0.072943765	10.27275	14.05356	61.269481
153	142	6560.20	0.012902755	395.81816	110.44065	278.69363
154	142	6553.20	0.073868768	366.24286	-112.63171	263.82020
155	142	6553.00	0.26329869	1993.2505	824.17730	287.08694
156	142	6553.20	0.18315962	384.22542	131.63701	266.54381
157	142	6553.20	0.21369765	377.59384	-134.55202	264.51794
158	142	6560.20	0.19912403	338.08415	130.99447	-57.268725
159	142	6553.20	0.13711993	271.44776	-121.39452	261.79736
160	142	6560.40	0.46604159	623.33823	213.38315	0.0000000
161	142	6553.40	0.095619324	276.11308	120.06324	246.53216
162	142	6554.00	0.027912975	220.17965	81.819616	199.78379
163	142	6553.00	0.076351641	413.82366	120.47963	246.48501
164	142	6560.60	0.34102550	869.81128	238.21621	-0.83838912
165	142	6557.80	0.043497511	381.02637	101.68215	25.064859
166	142	6555.00	0.26730149	1532.0112	248.23929	263.19287
167	142	6558.00	0.029161890	380.67167	83.620784	12.496534
168	142	6555.00	0.24742918	2324.7746	242.29385	276.32758
169	142	6562.20	0.25331297	2074.0584	208.01871	-52.597386
170	142	6555.20	0.24321385	2406.5849	193.21795	272.02430
171	142	6555.20	0.23355835	3090.5397	202.43146	280.17335
172 	142	0.0	0.0		0.0		0.0		0.0
173 	142	0.0	0.0		0.0		0.0		0.0
174	142	6555.20	0.25204689	4091.0319	241.91350	298.64250
148 	143	0.0	0.0		0.0		0.0		0.0
149	143	6552.80	0.55193902	2291.5294	240.95826	288.00803
150	143	6553.00	0.25060981	856.55407	148.71511	279.07922
151	143	6556.00	0.32476091	2413.1436	377.66150	166.36178
152	143	6553.00	0.21788805	460.21966	142.93079	280.19634
153	143	6553.00	0.19414970	424.39122	-136.33367	278.77167
154	143	6553.00	0.20795641	403.63341	133.78731	281.43954
155	143	6553.20	0.21584022	331.86205	135.60094	267.98127
156	143	6553.20	0.18330134	300.11842	-132.95138	260.09725
157	143	6553.20	0.21404140	305.22669	133.24851	264.21816
158	143	6553.20	0.19225783	288.18967	-128.63683	261.36661
159	143	6553.20	0.13406585	236.03282	121.50725	256.48905
160	143	6553.40	0.11221304	221.64360	118.94067	244.46007
161	143	6553.40	0.097071603	237.48300	120.79979	249.55045
162	143	6560.60	0.12075394	370.32602	137.75861	-94.815621
163	143	6561.00	0.43578753	573.56642	249.50092	-26.841773
164 	143	0.0	0.0		0.0		0.0		0.0
165 	143	0.0	0.0		0.0		0.0		0.0
166	143	6562.00	0.31493233	3083.9479	216.71084	-53.425367
167	143	6562.00	0.28163839	2667.2516	249.78856	-29.921146
168 	143	0.0	0.0		0.0		0.0		0.0
169 	143	0.0	0.0		0.0		0.0		0.0
170 	143	0.0	0.0		0.0		0.0		0.0
171 	143	0.0	0.0		0.0		0.0		0.0
172	143	6562.20	0.18132710	723.36472	114.21299	-30.979944
173	143	6562.20	0.13667114	680.98849	-107.14526	-31.838823
174	143	6555.20	0.10153780	584.97313	97.863746	289.49296
148	144	6559.80	0.55995205	417.11308	-169.57526	-37.235836
149	144	6559.80	0.57162407	418.75325	169.90620	-36.587328
150	144	6559.80	0.58164326	447.69512	-165.67204	-33.846682
151	144	6553.00	0.52426065	433.80803	161.51152	279.46810
152	144	6553.00	0.43301567	398.49031	150.01968	281.16064
153	144	6553.00	0.35532156	390.64838	144.19612	280.48739
154	144	6553.00	0.30222329	386.90968	-138.37837	278.57015
155	144	6560.00	0.40070146	260.34444	146.13626	-42.188035
156	144	6560.20	0.39010382	250.16196	153.20716	-59.469791
157	144	6553.20	0.34132360	247.10636	143.26945	258.93891
158	144	6553.20	0.18610644	228.22054	125.21262	258.62442
159	144	6553.20	0.11980238	177.49927	-115.95874	259.64721
160	144	6553.40	0.097821226	176.56391	113.67445	244.65107
161	144	6553.40	0.071366418	173.95240	106.38954	242.67467
162	144	6560.60	0.57483018	391.55981	239.49640	-13.750907
163	144	6554.60	0.21814357	466.03181	163.41423	192.99409
164	144	6554.80	0.21152194	614.59702	172.95472	197.74126
165 	144	0.0	0.0		0.0		0.0		0.0
166	144	6562.00	0.27478700	946.72358	169.47664	-33.248517
167	144	6555.00	0.28607562	1916.6911	203.87080	270.05590
168	144	6555.00	0.27515102	2103.1482	250.56975	272.82189
169	144	6562.20	0.17404342	956.87467	108.85254	-28.686294
170	144	6557.20	0.32601294	2231.0464	178.31316	188.87656
171	144	6561.70	0.21022901	835.59150	111.89920	-7.3468911
172 	144	0.0	0.0		0.0		0.0		0.0
173	144	6561.70	0.11770677	1106.2389	95.767134	-6.8595746
174	144	6561.70	0.063984953	763.94069	82.547889	-5.7987970
148	145	6558.30	0.57214005	1710.7449	308.63055	5.8967407
149	145	6562.30	0.44696653	2827.3371	326.09157	-158.57910
150	145	6560.30	0.51904346	2032.4006	326.58879	-40.575592
151	145	6560.30	0.67267640	1746.9478	276.62502	-33.247606
152	145	6562.30	0.44628288	1287.3886	291.12671	-99.926810
153	145	6560.50	0.47059720	1669.5978	368.01275	-37.205171
154	145	6560.40	0.57705152	1211.7097	311.22402	-1.4955779
155	145	6560.00	0.24568752	435.83438	198.26848	88.267039
156	145	6560.00	0.29011642	369.55499	187.49051	87.614585
157	145	6560.20	0.60206255	2514.1703	207.95410	18.499015
158	145	6560.20	0.57654502	1274.7081	206.29338	29.603543
159	145	6560.20	0.56291542	1250.8131	206.21724	31.113245
160	145	6560.40	0.11739355	162.93985	113.83739	-82.450912
161	145	6560.40	0.083866797	162.04967	-103.58706	-87.963811
162 	145	0.0	0.0		0.0		0.0		0.0
163	145	6561.20	0.16170115	312.54332	-140.01534	-125.74757
164	145	6555.80	0.58265806	978.35407	266.32137	222.03414
165	145	6555.00	0.48792488	1397.9147	266.75036	266.72813
166	145	6555.00	0.41525387	2112.8947	276.94998	282.88062
167	145	6555.00	0.35405952	1908.2896	275.12788	276.36636
168	145	6555.20	0.33537360	1874.0240	263.88271	268.09740
169	145	6555.20	0.27869750	2441.7564	271.38373	275.40587
170 	145	0.0	0.0		0.0		0.0		0.0
171 	145	0.0	0.0		0.0		0.0		0.0
172	145	6561.70	0.26091747	2017.6726	305.36608	20.489305
173	145	6561.70	0.23177101	2203.6038	252.13252	26.374364
174	145	6561.90	0.25909826	2127.0299	236.77018	21.941868
148	146	6559.90	0.57977282	147.62859	132.17937	-13.590372
149	146	6561.00	0.19911165	99.435541	106.34457	-63.216698
150 	146	0.0	0.0		0.0		0.0		0.0
151	146	6560.30	1.1316352	1773.5709	208.39119	-72.781460
152	146	6560.30	1.1881489	2044.5439	216.22817	-60.791947
153	146	6559.80	0.67697844	635.32815	146.02627	-34.830513
154	146	6555.00	0.80734995	410.41380	149.45756	188.47033
155	146	6560.00	0.72694850	319.64756	-143.22974	-39.804983
156	146	6559.60	0.47616014	301.43593	134.96957	-24.339656
157	146	6559.90	0.35371994	189.50943	133.69599	-47.308647
158	146	6559.50	0.28288251	150.10090	128.09082	-30.259882
159	146	6559.50	0.15975889	116.82561	113.89431	-34.084990
160	146	6559.70	0.12682282	126.57485	109.16911	-53.395231
161	146	6559.70	0.10356057	126.57808	105.72520	-54.192389
162	146	6559.90	0.077057470	158.17578	103.76769	-72.645627
163	146	6554.40	0.13290896	235.56547	128.35433	172.65743
164 	146	0.0	0.0		0.0		0.0		0.0
165	146	6554.80	0.56893588	900.96689	-270.42254	268.80042
166	146	6555.00	0.45009230	1230.2720	248.29461	272.12213
167 	146	0.0	0.0		0.0		0.0		0.0
168	146	6555.20	0.35763236	1920.4177	240.27303	269.08751
169	146	6555.20	0.31477744	2646.1101	243.85822	280.38915
170	146	6555.20	0.31882766	3720.4419	218.34933	287.49637
171	146	6555.20	0.34635252	2417.1423	236.25445	278.73869
172	146	6555.20	0.31729731	3425.3752	209.86378	284.16726
173	146	6555.20	0.24055272	4170.0551	209.51967	290.50589
174	146	6555.20	0.21101653	403.87004	102.99584	287.46778
148 	147	0.0	0.0		0.0		0.0		0.0
149 	147	0.0	0.0		0.0		0.0		0.0
150 	147	0.0	0.0		0.0		0.0		0.0
151 	147	0.0	0.0		0.0		0.0		0.0
152 	147	0.0	0.0		0.0		0.0		0.0
153 	147	0.0	0.0		0.0		0.0		0.0
154 	147	0.0	0.0		0.0		0.0		0.0
155 	147	0.0	0.0		0.0		0.0		0.0
156 	147	0.0	0.0		0.0		0.0		0.0
157 	147	0.0	0.0		0.0		0.0		0.0
158 	147	0.0	0.0		0.0		0.0		0.0
159	147	6553.20	0.30145898	116.92894	126.81723	252.01315
160	147	6553.40	0.27037200	135.79196	127.98119	237.03222
161	147	6553.40	0.25150036	156.90498	127.19989	236.47084
162	147	6553.60	0.43998419	257.05928	-156.86083	237.52601
163	147	6554.60	0.97140192	356.69479	-258.89904	274.41265
164	147	6554.80	0.40973950	412.52863	183.31523	196.04949
165	147	6561.80	0.34525744	317.54139	149.49114	0.92677473
166	147	6555.00	0.60697901	1085.2588	281.56827	272.52600
167	147	6555.00	0.51645967	1264.7829	263.38866	277.47378
168	147	6555.20	0.40980771	1947.2015	240.27161	275.31247
169 	147	0.0	0.0		0.0		0.0	0.0	
170	147	6562.20	0.42903598	454.02219	113.47279	-30.614174
171	147	6562.20	0.43566024	400.43172	-110.11237 -30.850579
172	147	6561.20	0.32512623	2136.0661	203.48627	42.825720
173	147	6562.20	0.32812973	421.32015	106.96067	-32.241855
174	147	6561.30	0.17020229	213.31195	-95.699151	0.0000000
148	148	6563.70	0.44044234	39.992975	98.903906	-182.43044
149	148	6559.90	0.26270765	31.688134	85.090138	-8.4309825
150	148	6559.90	0.48456253	57.668488	113.93735	-10.597125
151 	148	0.0	0.0		0.0		0.0	0.0	
152 	148	0.0	0.0		0.0		0.0	0.0
153 	148	0.0	0.0		0.0		0.0	0.0
154	148	6560.00	0.74206017	1528.8367	226.42462	34.800411
155	148	6560.00	0.88068600	1618.8329	219.43623	34.005838
156	148	6560.00	0.60941466	251.34926	195.41438	82.620217
157	148	6560.20	1.2708874	1477.1325	206.41873	16.981325
158	148	6560.20	1.2205864	1264.6569	212.09009	24.141418
159	148	6560.40	0.78866454	194.41125	173.00819	55.714829
160	148	6560.60	0.55420088	164.55783	149.24511	59.658303
161	148	6560.60	0.51416545	186.95999	152.25218	60.431757
162	148	6560.80	0.41080500	213.45314	152.91775	60.496176
163	148	6559.80	0.25555859	850.18436	301.09571	0.0000000
164	148	6561.80	0.063214953	93.408023	78.615805	-4.2244446
165	148	6562.00	0.081586476	131.32590	83.194153	-16.855975
166	148	6562.00	0.13245746	228.02962	94.650002	-18.555681
167	148	6562.20	0.20834151	354.85512	102.43000	-28.743120
168	148	6562.20	0.31927631	44.14287	109.60363	-29.468734
169	148	6562.20	0.38552093	5664.3258	174.63818	-31.984730
170	148	6562.20	0.25447901	2010.9036	190.10847	6.2681465
171	148	6562.20	0.28018490	1509.8845	195.82420	22.814917
172	148	6562.20	0.16799046	889.10505	160.50503	53.171975


