YY,XX,wav,flux,flux_err,fwhm,vel
0,149.0,142.0,6559.6,0.35276637,1819.3324,253.17007,0.0
1,150.0,142.0,6580.6,0.37956378,409.88663,262.2955,0.0
2,151.0,142.0,6559.6,0.45216315,547.18784,207.68055,0.0
3,152.0,142.0,6559.8,0.49070703,1030.7411,265.74533,0.0
4,153.0,142.0,6559.8,0.50903442,357.1032,221.84175,0.0
5,154.0,142.0,6559.8,0.44291804,904.54369,228.36076,0.0
6,155.0,142.0,6559.6,0.49635304,479.60736,186.85726,0.0
7,156.0,142.0,6560.1,0.51016211,949.95313,248.48828,0.0
8,157.0,142.0,6560.2,0.46579478,966.57576,235.83752,0.0
9,158.0,142.0,6560.2,0.49909049,893.63027,-228.10832,0.0
10,159.0,142.0,6560.2,0.5380254,758.27611,227.58828,0.0
11,160.0,142.0,6560.4,0.46604159,623.33823,213.38315,0.0
12,161.0,142.0,6560.4,0.42804771,741.91172,225.86459,0.0
13,162.0,142.0,6560.6,0.39018039,554.58858,219.07316,0.0
14,163.0,142.0,6561.0,0.30789504,584.35038,196.46707,0.0
15,164.0,142.0,6560.9,8.9490755e-10,188.78119,93.743473,0.0
16,165.0,142.0,6561.1,0.24483029,620.91072,186.71053,0.0
17,166.0,142.0,6561.6,0.040657955,661.14637,90.473936,0.0
18,167.0,142.0,6561.3,0.23790743,548.57984,163.32145,0.0
19,168.0,142.0,6561.6,0.072570493,997.81645,98.246656,0.0
20,169.0,142.0,6561.8,0.073549709,1130.3146,97.83739,0.0
21,170.0,142.0,6561.8,0.068775711,1353.3565,95.686822,0.0
22,171.0,142.0,6561.7,0.078081669,1490.1768,95.173539,0.0
23,172.0,142.0,6561.6,0.2749122,325.2659,144.54403,0.0
24,173.0,142.0,6561.6,0.28311282,333.96283,147.64904,0.0
25,174.0,142.0,6561.8,0.089959254,1693.2826,104.20896,0.0
26,148.0,143.0,6559.2,0.57891771,210.23745,196.53704,0.0
27,149.0,143.0,6559.4,0.086975188,1155.4197,120.59179,0.0
28,150.0,143.0,6559.6,0.41487952,1862.5255,307.83288,0.0
29,151.0,143.0,6559.3,0.3620733,1058.0224,165.20119,0.0
30,152.0,143.0,6560.0,0.50157589,1081.8133,301.35957,0.0
31,153.0,143.0,6560.0,0.5073007,1004.2488,280.87684,0.0
32,154.0,143.0,6560.0,0.54251136,989.27177,290.69593,0.0
33,155.0,143.0,6560.2,0.54432854,830.00462,264.54621,0.0
34,156.0,143.0,6560.2,0.53980562,788.1939,233.28475,0.0
35,157.0,143.0,6560.2,0.58159024,790.26895,241.59107,0.0
36,158.0,143.0,6560.2,0.55224349,777.92604,224.84475,0.0
37,159.0,143.0,6560.2,0.57561792,658.05265,221.87618,0.0
38,160.0,143.0,6560.4,0.53933374,584.28355,224.07871,0.0
39,161.0,143.0,6560.4,0.53650379,653.96311,244.7917,0.0
40,162.0,143.0,6561.0,0.38708759,589.82478,212.69988,0.0
41,163.0,143.0,6561.4,0.0032558577,187.67194,54.940941,0.0
42,164.0,143.0,6560.7,0.35461324,478.13082,231.87548,0.0
43,165.0,143.0,6560.8,0.35509463,475.69593,230.8508,0.0
44,166.0,143.0,6562.4,0.048228013,2770.2588,127.71846,0.0
45,167.0,143.0,6561.3,0.063683005,1019.6788,98.4599,0.0
46,168.0,143.0,6561.3,0.3013925,358.29523,164.82956,0.0
47,169.0,143.0,6561.4,0.33328079,309.76881,159.82188,0.0
48,170.0,143.0,6561.45,0.31242042,292.27421,145.51363,0.0
49,171.0,143.0,6561.55,0.30260365,277.98794,135.18418,0.0
50,172.0,143.0,6562.2,0.15934852,1887.5216,-262.55185,0.0
51,173.0,143.0,6562.2,0.19137617,1756.8025,233.4929,0.0
52,174.0,143.0,6562.1,0.26560841,1616.1244,241.6055,0.0
53,148.0,144.0,6559.8,0.31562571,1379.077,499.39939,0.0
54,149.0,144.0,6559.8,0.40420866,1308.9085,474.30975,0.0
55,150.0,144.0,6559.8,0.3888545,1351.1849,452.23756,0.0
56,151.0,144.0,6560.0,0.43062005,1155.4701,399.93345,0.0
57,152.0,144.0,6560.0,0.5364019,1005.9318,344.68566,0.0
58,153.0,144.0,6560.0,0.56879598,940.95061,308.61659,0.0
59,154.0,144.0,6560.0,0.57677652,902.38051,273.19285,0.0
60,155.0,144.0,6560.6,0.48673087,706.56579,274.92044,0.0
61,156.0,144.0,6560.8,0.49080835,675.20717,229.12651,0.0
62,157.0,144.0,6560.6,0.51290189,674.50876,214.01798,0.0
63,158.0,144.0,6560.2,0.63567587,635.87444,221.47126,0.0
64,159.0,144.0,6560.2,0.76134787,502.35586,242.11071,0.0
65,160.0,144.0,6560.4,0.67028484,467.07226,236.00684,0.0
66,161.0,144.0,6560.4,0.63662014,445.67493,236.1376,0.0
67,162.0,144.0,6560.6,5.5226936e-10,76.375497,-54.006442,0.0
68,163.0,144.0,6561.6,0.31434793,467.38236,167.20968,0.0
69,164.0,144.0,6561.8,0.25447869,612.59352,165.27354,0.0
70,165.0,144.0,6560.9,0.38662619,423.58616,229.68141,0.0
71,166.0,144.0,6562.0,0.17081978,3278.2963,519.88903,0.0
72,167.0,144.0,6562.0,0.070029215,1329.805,105.90351,0.0
73,168.0,144.0,6561.6,0.11848456,925.09869,103.20237,0.0
74,169.0,144.0,6561.2,0.19781711,2334.2771,247.94981,0.0
75,170.0,144.0,6561.8,0.076428117,1230.2884,91.447412,0.0
76,171.0,144.0,6561.8,0.24293677,2477.113,310.49635,0.0
77,172.0,144.0,6561.67,0.33813972,254.85506,133.71372,0.0
78,173.0,144.0,6561.8,0.2519822,2562.3106,209.19268,0.0
79,174.0,144.0,6561.8,0.30797811,1962.4262,198.0539,0.0
80,148.0,145.0,6559.0,0.5980269,884.13181,155.86457,0.0
81,149.0,145.0,6558.95,0.7087083,1398.6085,163.82124,0.0
82,150.0,145.0,6558.9,0.68183958,1018.6238,161.99815,0.0
83,151.0,145.0,6558.9,0.54395204,1010.8885,151.39107,0.0
84,152.0,145.0,6559.0,0.66463827,780.36372,155.1261,0.0
85,153.0,145.0,6559.2,0.65953902,726.48235,160.77527,0.0
86,154.0,145.0,6559.1,0.59475357,715.56258,154.49897,0.0
87,155.0,145.0,6559.1,0.79217338,336.19837,160.37075,0.0
88,156.0,145.0,6559.1,0.76990487,291.94196,160.84748,0.0
89,157.0,145.0,6558.8,0.42172987,2803.545,142.44254,0.0
90,158.0,145.0,6558.8,0.40725863,1485.7102,144.97177,0.0
91,159.0,145.0,6558.8,0.35362617,1423.3068,140.98466,0.0
92,160.0,145.0,6560.4,0.72584052,391.60567,-221.87355,0.0
93,161.0,145.0,6560.4,0.68606866,357.9398,217.76592,0.0
94,162.0,145.0,6560.6,0.70173657,297.16474,254.03776,0.0
95,163.0,145.0,6561.2,0.48344594,404.3511,-198.69673,0.0
96,164.0,145.0,6561.2,0.019560746,342.21578,87.552857,0.0
97,165.0,145.0,6561.3,0.048278276,511.2769,95.318938,0.0
98,166.0,145.0,6561.3,0.10103644,769.01823,104.83562,0.0
99,167.0,145.0,6561.5,0.11364486,716.86972,102.74626,0.0
100,168.0,145.0,6561.6,0.14557084,754.97192,103.50321,0.0
101,169.0,145.0,6561.6,0.20402032,961.36768,108.58871,0.0
102,170.0,145.0,6561.6,0.41890291,211.35543,135.93028,0.0
103,171.0,145.0,6561.58,0.42576006,205.0337,132.65127,0.0
104,172.0,145.0,6561.55,0.298353,735.45183,111.85751,0.0
105,173.0,145.0,6561.55,0.24956485,1030.7967,109.20253,0.0
106,174.0,145.0,6561.55,0.1979993,1094.5342,106.71502,0.0
107,148.0,146.0,6557.8,0.87278248,317.78663,178.82779,0.0
108,149.0,146.0,6558.5,1.3667404,268.22765,-203.6389,0.0
109,150.0,146.0,6558.8,1.5585239,97.260431,194.87051,0.0
110,151.0,146.0,6559.35,0.36650897,1249.1604,134.73553,0.0
111,152.0,146.0,6559.3,0.37401887,1268.4779,131.97889,0.0
112,153.0,146.0,6559.5,0.87144586,1191.6537,258.19855,0.0
113,154.0,146.0,6559.9,0.60024464,912.03241,289.1678,0.0
114,155.0,146.0,6560.0,0.71842284,737.43595,277.57866,0.0
115,156.0,146.0,6559.9,0.97069982,668.96715,246.2304,0.0
116,157.0,146.0,6560.2,0.91673568,514.6797,224.23949,0.0
117,158.0,146.0,6560.2,1.0592828,419.29073,230.92786,0.0
118,159.0,146.0,6560.2,1.0875858,330.5249,232.14959,0.0
119,160.0,146.0,6560.4,0.94898282,295.24549,223.55796,0.0
120,161.0,146.0,6560.4,0.87205608,341.92787,225.14872,0.0
121,162.0,146.0,6560.6,0.77890629,309.07441,230.53551,0.0
122,163.0,146.0,6561.0,0.64352162,324.16498,210.27052,0.0
123,164.0,146.0,6560.7,0.64012777,299.31331,242.97352,0.0
124,165.0,146.0,6561.4,0.05374167,334.25766,89.97988,0.0
125,166.0,146.0,6561.6,0.091065602,502.74838,93.974895,0.0
126,167.0,146.0,6561.3,0.4411068,264.83623,171.70855,0.0
127,168.0,146.0,6561.8,0.1167839,945.07116,96.976274,0.0

128,168.0,146.0,6561.6,0.16625917,843.90748,102.30574,0.0
129,164.0,148.0,6560.6,0.99222434,304.84965,255.76323,0.0

130,170.0,146.0,6561.6,0.26273102,1726.5423,105.34561,0.0


130,171.0,146.0,6561.62,0.31892438,1067.0608,106.57373,0.0
131,172.0,146.0,6561.62,0.2963615,1675.4158,105.04826,0.0
132,173.0,146.0,6561.62,0.27583541,2086.6309,107.1153,0.0
133,174.0,146.0,6562.3,0.31309318,1069.7746,210.74822,0.0
134,148.0,147.0,6558.6,2.2702285,75.335241,201.22231,0.0
135,149.0,147.0,6558.6,2.3134419,74.062158,202.12733,0.0
136,150.0,147.0,6558.8,2.2133892,71.585761,193.69651,0.0
137,151.0,147.0,6558.9,2.0500258,71.381117,182.96909,0.0
138,152.0,147.0,6559.1,2.0095948,69.355624,177.69508,0.0
139,153.0,147.0,6559.2,1.9364305,74.521133,183.83746,0.0
140,154.0,147.0,6559.3,1.8448944,77.597008,182.66941,0.0
141,155.0,147.0,6559.4,1.7378234,81.814261,181.11103,0.0
142,156.0,147.0,6559.5,1.8164371,88.569871,199.13781,0.0
143,157.0,147.0,6559.62,1.7324236,98.400836,207.13664,0.0
144,158.0,147.0,6559.75,1.5890975,113.50995,215.59099,0.0
145,159.0,147.0,6560.4,1.1626034,315.09056,222.11525,0.0
146,160.0,147.0,6560.6,1.040079,295.78868,217.63605,0.0
147,161.0,147.0,6560.7,0.89978912,307.39715,211.91906,0.0
148,162.0,147.0,6561.5,0.59310738,301.01579,179.85511,0.0
149,163.0,147.0,6562.5,1.5445449e-08,364.77256,252.58759,0.0
150,164.0,147.0,6561.8,0.42023155,390.83266,160.92382,0.0
151,165.0,147.0,6559.3,0.32483756,479.54788,185.6609,0.0
152,166.0,147.0,6561.5,0.11941149,387.19681,98.12649,0.0
153,167.0,147.0,6561.6,0.12262534,485.51383,98.261,0.0
154,168.0,147.0,6561.6,0.17791813,824.18039,101.98228,0.0
155,169.0,147.0,6561.6,0.5482609,170.58259,137.64432,0.0
156,170.0,147.0,6562.2,0.31915129,1305.4084,-279.07873,0.0
157,171.0,147.0,6562.2,0.37225699,1072.1924,247.94447,0.0
158,172.0,147.0,6561.5,0.39964069,1239.1961,107.66302,0.0
159,173.0,147.0,6562.2,0.30617439,1002.4424,203.29275,0.0
160,174.0,147.0,6562.2,0.34405551,392.50962,160.19328,0.0
161,148.0,148.0,6558.21,2.7857563,104.17958,197.60167,0.0
162,149.0,148.0,6558.4,3.0398264,89.355403,204.13269,0.0
163,150.0,148.0,6558.4,2.5813851,161.94865,202.85374,0.0
164,151.0,148.0,6558.9,2.932002,52.630175,186.03019,0.0
165,152.0,148.0,6559.1,2.8226055,51.086508,176.95875,0.0
166,153.0,148.0,6559.2,2.8375002,51.440067,179.01761,0.0
167,154.0,148.0,6559.0,2.0196264,1619.9201,158.49118,0.0
168,155.0,148.0,6559.0,1.6956334,1729.0765,152.00234,0.0
169,156.0,148.0,6559.1,1.7905729,197.69954,159.97843,0.0
170,157.0,148.0,6558.8,0.9449951,1646.3191,142.29212,0.0
171,158.0,148.0,6558.8,0.75223232,1410.8612,141.33472,0.0
172,159.0,148.0,6559.0,1.0652857,180.02672,156.76411,0.0
173,160.0,148.0,6559.2,1.0103439,174.38386,166.30309,0.0
174,161.0,148.0,6559.2,0.88227787,199.65451,168.36148,0.0
175,162.0,148.0,6559.4,0.82156587,261.71391,188.04044,0.0
176,163.0,148.0,6560.8,0.91355373,686.13084,234.37207,0.0
177,164.0,148.0,6561.8,0.071136246,165.8227,83.325437,0.0
178,165.0,148.0,6560.8,0.81935402,426.49567,253.87412,0.0
179,166.0,148.0,6561.0,0.68784005,685.85057,258.47883,0.0
180,167.0,148.0,6561.1,0.56626859,1004.7465,263.78426,0.0
181,168.0,148.0,6561.1,0.43505616,1301.4095,290.25991,0.0
182,169.0,148.0,6561.6,0.32523821,3292.0336,103.14437,0.0
183,170.0,148.0,6561.5,0.58928591,1401.4472,110.76913,0.0
184,171.0,148.0,6561.5,0.67402452,1207.3875,111.59231,0.0
185,172.0,148.0,6561.5,0.71944865,817.52426,113.866,0.0
186,173,148, 6561.50,0.48035376,1248.1180,110.63816,0.0000000#
187,174,148, 6561.50,0.33188345,899.92859,107.51635,0.0000000#
188,148,149, 6557.30,2.5249631,84.350806,167.21155,0.0000000
189,149,149, 6557.30,2.3045801,94.344336,167.71060,0.0000000
190,150,149, 6557.50,1.9979750,146.39870,177.34814,0.0000000
191,151,149, 6558.40,2.2479327,428.81865,219.52626,0.0000000
192,152,149, 6559.80,0.91209634,571.86233,455.50705,0.0000000
193,153,149, 6559.60,1.6765616,573.96461,316.53613,0.0000000
194,154,149, 6559.60,1.6382751,591.11398,296.62385,0.0000000
195,155,149, 6559.60,1.9443645,649.90827,231.59397,0.0000000
196,156,149, 6560.00,2.0602316,351.51055,234.28301,0.0000000
197,157,149, 6560.20,1.9789618,297.49730,227.88037,0.0000000
198,158,149, 6560.20,2.1167399,211.16727,225.68409,0.0000000
199,159,149, 6560.40,2.1294016,146.59395,225.90807,0.0000000
200,160,149, 6558.77,0.51307159,133.40429,169.16889,0.0000000
201,161,149, 6558.90,0.60578831,194.78184,212.79620,0.0000000
202,162,149, 6559.60,0.23878359,670.77843,311.18698,0.0000000
203,163,149, 6559.80,0.38877524,674.51963,375.47619,0.0000000
204,164,149, 6560.85,1.1431793,297.32853,249.54442,0.0000000
205,165,149, 6561.00,0.98565011,413.69278,245.28285,0.0000000
206,166,149, 6561.20,0.92321054,641.78760,262.25091,0.0000000
207,167,149, 6561.20,0.76549311,821.87698,254.71647,0.0000000
208,168,149, 6561.40,0.58541469,1623.9840,256.24544,0.0000000
209,169,149, 6561.70,0.56658302,1889.0852,210.65856,0.0000000
210,170,149, 6562.10,0.48079283,897.70710,-201.05864,0.0000000
211,171,149, 6562.20,0.52473101,734.36321,198.06282,0.0000000
