YY,XX,wav,flux,flux_err,fwhm,vel
0,149.0,142.0,6553.0,0.11663104,914.63159,136.99325,275.68294
1,150.0,142.0,6576.0,0.062109921,466.75943,421.63891,0.0
2,151.0,142.0,6553.0,0.14616472,1652.4032,766.42252,190.09743
3,152.0,142.0,6557.8,0.072943765,10.27275,14.05356,61.269481
4,153.0,142.0,6560.2,0.012902755,395.81816,110.44065,278.69363
5,154.0,142.0,6553.2,0.073868768,366.24286,-112.63171,263.8202
6,155.0,142.0,6553.0,0.26329869,1993.2505,824.1773,287.08694
7,156.0,142.0,6553.2,0.18315962,384.22542,131.63701,266.54381
8,157.0,142.0,6553.2,0.21369765,377.59384,-134.55202,264.51794
9,158.0,142.0,6560.2,0.19912403,338.08415,130.99447,-57.268725
10,159.0,142.0,6553.2,0.13711993,271.44776,-121.39452,261.79736
11,160.0,142.0,6560.4,0.46604159,623.33823,213.38315,0.0
12,161.0,142.0,6553.4,0.095619324,276.11308,120.06324,246.53216
13,162.0,142.0,6554.0,0.027912975,220.17965,81.819616,199.78379
14,163.0,142.0,6553.0,0.076351641,413.82366,120.47963,246.48501
15,164.0,142.0,6560.6,0.3410255,869.81128,238.21621,-0.83838912
16,165.0,142.0,6557.8,0.043497511,381.02637,101.68215,25.064859
17,166.0,142.0,6555.0,0.26730149,1532.0112,248.23929,263.19287
18,167.0,142.0,6558.0,0.02916189,380.67167,83.620784,12.496534
19,168.0,142.0,6555.0,0.24742918,2324.7746,242.29385,276.32758
20,169.0,142.0,6562.2,0.25331297,2074.0584,208.01871,-52.597386
21,170.0,142.0,6555.2,0.24321385,2406.5849,193.21795,272.0243
22,171.0,142.0,6555.2,0.23355835,3090.5397,202.43146,280.17335
23,172.0,142.0,0.0,0.0,0.0,0.0,0.0
24,173.0,142.0,0.0,0.0,0.0,0.0,0.0
25,174.0,142.0,6555.2,0.25204689,4091.0319,241.9135,298.6425
26,148.0,143.0,0.0,0.0,0.0,0.0,0.0
27,149.0,143.0,6552.8,0.55193902,2291.5294,240.95826,288.00803
28,150.0,143.0,6553.0,0.25060981,856.55407,148.71511,279.07922
29,151.0,143.0,6556.0,0.32476091,2413.1436,377.6615,166.36178
30,152.0,143.0,6553.0,0.21788805,460.21966,142.93079,280.19634
31,153.0,143.0,6553.0,0.1941497,424.39122,-136.33367,278.77167
32,154.0,143.0,6553.0,0.20795641,403.63341,133.78731,281.43954
33,155.0,143.0,6553.2,0.21584022,331.86205,135.60094,267.98127
34,156.0,143.0,6553.2,0.18330134,300.11842,-132.95138,260.09725
35,157.0,143.0,6553.2,0.2140414,305.22669,133.24851,264.21816
36,158.0,143.0,6553.2,0.19225783,288.18967,-128.63683,261.36661
37,159.0,143.0,6553.2,0.13406585,236.03282,121.50725,256.48905
38,160.0,143.0,6553.4,0.11221304,221.6436,118.94067,244.46007
39,161.0,143.0,6553.4,0.097071603,237.483,120.79979,249.55045
40,162.0,143.0,6560.6,0.12075394,370.32602,137.75861,-94.815621
41,163.0,143.0,6561.0,0.43578753,573.56642,249.50092,-26.841773
42,164.0,143.0,0.0,0.0,0.0,0.0,0.0
43,165.0,143.0,0.0,0.0,0.0,0.0,0.0
44,166.0,143.0,6562.0,0.31493233,3083.9479,216.71084,-53.425367
45,167.0,143.0,6562.0,0.28163839,2667.2516,249.78856,-29.921146
46,168.0,143.0,0.0,0.0,0.0,0.0,0.0
47,169.0,143.0,0.0,0.0,0.0,0.0,0.0
48,170.0,143.0,0.0,0.0,0.0,0.0,0.0
49,171.0,143.0,0.0,0.0,0.0,0.0,0.0
50,172.0,143.0,6562.2,0.1813271,723.36472,114.21299,-30.979944
51,173.0,143.0,6562.2,0.13667114,680.98849,-107.14526,-31.838823
52,174.0,143.0,6555.2,0.1015378,584.97313,97.863746,289.49296
53,148.0,144.0,6559.8,0.55995205,417.11308,-169.57526,-37.235836
54,149.0,144.0,6559.8,0.57162407,418.75325,169.9062,-36.587328
55,150.0,144.0,6559.8,0.58164326,447.69512,-165.67204,-33.846682
56,151.0,144.0,6553.0,0.52426065,433.80803,161.51152,279.4681
57,152.0,144.0,6553.0,0.43301567,398.49031,150.01968,281.16064
58,153.0,144.0,6553.0,0.35532156,390.64838,144.19612,280.48739
59,154.0,144.0,6553.0,0.30222329,386.90968,-138.37837,278.57015
60,155.0,144.0,6560.0,0.40070146,260.34444,146.13626,-42.188035
61,156.0,144.0,6560.2,0.39010382,250.16196,153.20716,-59.469791
62,157.0,144.0,6553.2,0.3413236,247.10636,143.26945,258.93891
63,158.0,144.0,6553.2,0.18610644,228.22054,125.21262,258.62442
64,159.0,144.0,6553.2,0.11980238,177.49927,-115.95874,259.64721
65,160.0,144.0,6553.4,0.097821226,176.56391,113.67445,244.65107
66,161.0,144.0,6553.4,0.071366418,173.9524,106.38954,242.67467
67,162.0,144.0,6560.6,0.57483018,391.55981,239.4964,-13.750907
68,163.0,144.0,6554.6,0.21814357,466.03181,163.41423,192.99409
69,164.0,144.0,6554.8,0.21152194,614.59702,172.95472,197.74126
70,165.0,144.0,0.0,0.0,0.0,0.0,0.0
71,166.0,144.0,6562.0,0.274787,946.72358,169.47664,-33.248517
72,167.0,144.0,6555.0,0.28607562,1916.6911,203.8708,270.0559
73,168.0,144.0,6555.0,0.27515102,2103.1482,250.56975,272.82189
74,169.0,144.0,6562.2,0.17404342,956.87467,108.85254,-28.686294
75,170.0,144.0,6557.2,0.32601294,2231.0464,178.31316,188.87656
76,171.0,144.0,6561.7,0.21022901,835.5915,111.8992,-7.3468911
77,172.0,144.0,0.0,0.0,0.0,0.0,0.0
78,173.0,144.0,6561.7,0.11770677,1106.2389,95.767134,-6.8595746
79,174.0,144.0,6561.7,0.063984953,763.94069,82.547889,-5.798797
80,148.0,145.0,6558.3,0.57214005,1710.7449,308.63055,5.8967407
81,149.0,145.0,6562.3,0.44696653,2827.3371,326.09157,-158.5791
82,150.0,145.0,6560.3,0.51904346,2032.4006,326.58879,-40.575592
83,151.0,145.0,6560.3,0.6726764,1746.9478,276.62502,-33.247606
84,152.0,145.0,6562.3,0.44628288,1287.3886,291.12671,-99.92681
85,153.0,145.0,6560.5,0.4705972,1669.5978,368.01275,-37.205171
