YY,XX,wav,flux,flux_err,fwhm,vel
0,149.0,142.0,6545.4,0.10644255,0.0,243.1366,0.0
1,150.0,142.0,6538.4,0.020379082,0.0,421.63891,0.0
2,151.0,142.0,6545.4,0.11481227,0.0,234.21337,0.0
3,152.0,142.0,6545.6,0.12683912,0.0,244.16265,0.0
4,153.0,142.0,6545.6,0.12105416,0.0,232.01995,0.0
5,154.0,142.0,6545.4,0.12392229,0.0,228.95256,0.0
6,155.0,142.0,6545.4,0.13448551,0.0,226.23543,0.0
7,156.0,142.0,6545.4,0.14132343,0.0,224.43804,0.0
8,157.0,142.0,6545.4,0.13208052,0.0,217.74739,0.0
9,158.0,142.0,6545.4,0.12665427,0.0,201.33082,0.0
10,159.0,142.0,6545.6,0.12745212,0.0,191.82752,0.0
11,160.0,142.0,6546.0,0.069802387,0.0,138.66309,0.0
12,161.0,142.0,6546.0,0.066073387,0.0,145.46663,0.0
13,162.0,142.0,6545.4,0.094340058,0.0,206.20367,0.0
14,163.0,142.0,6546.2,0.076586779,0.0,177.48249,0.0
15,164.0,142.0,6547.0,0.054235864,0.0,163.45169,0.0
16,165.0,142.0,6547.2,0.046430619,0.0,166.15646,0.0
17,166.0,142.0,6547.2,0.048831427,0.0,160.37457,0.0
18,167.0,142.0,6547.2,0.046622579,0.0,165.66309,0.0
19,168.0,142.0,6547.2,0.04952644,0.0,168.19061,0.0
20,169.0,142.0,6547.2,0.060579279,0.0,183.09183,0.0
21,170.0,142.0,6547.2,0.063473781,0.0,192.48966,0.0
22,171.0,142.0,6547.4,0.067456056,0.0,207.38491,0.0
23,172.0,142.0,6546.8,0.060712695,0.0,193.29926,0.0
24,173.0,142.0,6546.8,0.059111285,0.0,209.48614,0.0
25,174.0,142.0,6547.8,0.066474423,0.0,230.88099,0.0
26,148.0,143.0,6544.6,0.14771507,0.0,258.82076,0.0
27,149.0,143.0,6545.2,0.13975201,0.0,248.16942,0.0
28,150.0,143.0,6545.2,0.14686628,0.0,258.83697,0.0
29,151.0,143.0,6545.6,0.16114181,0.0,266.0955,0.0
30,152.0,143.0,6545.2,0.1609087,0.0,265.85785,0.0
31,153.0,143.0,6545.4,0.15047237,0.0,245.77702,0.0
32,154.0,143.0,6545.4,0.15996182,0.0,238.65496,0.0
33,155.0,143.0,6545.4,0.15871547,0.0,231.8338,0.0
34,156.0,143.0,6545.4,0.14769079,0.0,218.2839,0.0
35,157.0,143.0,6545.4,0.11927408,0.0,187.95289,0.0
36,158.0,143.0,6545.4,0.14281911,0.0,194.333,0.0
37,159.0,143.0,6545.6,0.11980661,0.0,188.77552,0.0
38,160.0,143.0,6545.8,0.1044633,0.0,173.27093,0.0
39,161.0,143.0,6546.4,0.11402175,0.0,196.42898,0.0
40,162.0,143.0,6546.4,0.11265896,0.0,186.7497,0.0
41,163.0,143.0,6546.6,0.063649908,0.0,149.66718,0.0
42,164.0,143.0,6546.0,0.079460526,0.0,179.3652,0.0
43,165.0,143.0,6546.2,0.075097786,0.0,195.82206,0.0
44,166.0,143.0,6547.2,0.072968277,0.0,183.33014,0.0
45,167.0,143.0,6547.2,0.068950728,0.0,192.10087,0.0
46,168.0,143.0,6546.6,0.063559729,0.0,168.44124,0.0
47,169.0,143.0,6546.6,0.072344296,0.0,176.55344,0.0
