#YY	XX	wav	flux		flux_err	fwhm		vel
149	142	6538.40	0.020561267	0.0000000	392.52607	0.0000000
150	142	6545.40	0.12458605	0.0000000	262.29550	0.0000000
151	142	6538.40	0.019078114	0.0000000 	323.61554	0.0000000
152	142	6538.60	0.0093982535	0.0000000	330.65600	0.0000000
153	142	6538.60	0.013157133	0.0000000 	401.12962	0.0000000
154	142	6538.40	0.011920598	0.0000000	416.35129	0.0000000
155	142	6538.40	0.026319416	0.0000000	356.12793	0.0000000
156	142	6538.40	0.025730772	0.0000000	415.11647	0.0000000
157	142	6538.40	0.020366323	0.0000000	414.57235	0.0000000
158	142	6538.40	0.034778188	0.0000000	-432.22136	0.0000000
159	142	6538.60	0.037997873	0.0000000	409.45722	0.0000000
160	142	6539.00	0.065546740	0.0000000	375.57881	0.0000000
161	142	6546.00	0.066073387	0.0000000	145.46663	0.0000000
162	142	6538.40	0.018125948	0.0000000	428.11107	0.0000000
163	142	6539.20	0.023873728	0.0000000	434.99931	0.0000000
164	142	6540.00	0.033591915	0.0000000	443.42621	0.0000000
165	142	6540.20	0.038767570	0.0000000	443.36488	0.0000000
166	142	6540.20	0.028700854	0.0000000	-433.61805	0.0000000
167	142	6540.20	0.027371546	0.0000000	440.87479	0.0000000
168	142	6540.20	0.019854111	0.0000000	428.83392	0.0000000
169	142	6540.20	0.011054288	0.0000000	-409.70644	0.0000000
170	142	6540.20	0.0022440200	0.0000000	468.37960	0.0000000
171	142	6540.40	0.0028425838	0.0000000	465.53080	0.0000000
172 	142	0.0	0.0		0.0		0.0		0.0
173 	142	0.0	0.0		0.0		0.0		0.0
174	142	6540.80	0.0024333004	0.0000000	414.48554	0.0000000
148 	143	0.0	0.0		0.0		0.0		0.0
149	143	6538.20	0.015371026	0.0000000	387.55719	0.0000000
150	143	6538.20	0.0067612191	0.0000000	-448.56608	0.0000000
151	143	6538.60	0.0099227527	0.0000000	426.67664	0.0000000
152	143	6538.20	0.0062891880	0.0000000	356.19596	0.0000000
153	143	6538.40	0.010242252	0.0000000	335.21325	0.0000000
154	143	6538.40	0.024583981	0.0000000	334.16619	0.0000000
155	143	6538.40	0.022985682	0.0000000	391.04256	0.0000000
156	143	6538.40	0.012651049	0.0000000	383.50553	0.0000000
157	143	6538.40	0.079569316	0.0000000	404.10348	0.0000000
158	143	6538.40	0.037902155	0.0000000	-405.21050	0.0000000
159	143	6538.60	0.061810188	0.0000000	384.94891	0.0000000
160	143	6538.80	0.054368718	0.0000000	364.47622	0.0000000
161	143	6539.40	0.051387405	0.0000000	388.15962	0.0000000
162	143	6539.40	0.017182305	0.0000000	137.86181	0.0000000
163	143	6539.60	0.045315793	0.0000000	-413.86187	0.0000000
164 	143	0.0	0.0		0.0		0.0		0.0
165 	143	0.0	0.0		0.0		0.0		0.0
166	143	6540.20	0.024113660	0.0000000	452.80244	0.0000000
167	143	6540.20	0.015828372	0.0000000	449.34930	0.0000000
168 	143	0.0	0.0		0.0		0.0		0.0
169 	143	0.0	0.0		0.0		0.0		0.0
170 	143	0.0	0.0		0.0		0.0		0.0
171 	143	0.0	0.0		0.0		0.0		0.0
172	143	6540.40	0.0043864748	0.0000000	511.04257	0.0000000
173	143	6540.80	0.0095882140	0.0000000	488.81749	0.0000000
174	143	6540.80	0.0034089298	0.0000000 	444.54562	0.0000000
148	144	6538.20	0.018342212	0.0000000	-491.26913	0.0000000
149	144	6538.20	0.039137695	0.0000000	484.94420	0.0000000
150	144	6538.20	0.028505908	0.0000000	463.60608	0.0000000
151	144	6538.20	0.017176369	0.0000000	-454.76039	0.0000000
152	144	6538.20	0.019587581	0.0000000	434.47332	0.0000000
153	144	6538.20	0.016158016	0.0000000	379.67432	0.0000000
154	144	6538.40	0.010966116	0.0000000	349.62777	0.0000000
155	144	6538.40	0.025196692	0.0000000	252.23891	0.0000000
156	144	6538.20	0.037205913	0.0000000	364.67199	0.0000000
157	144	6538.40	0.077159317	0.0000000	387.11893	0.0000000
158	144	6538.40	0.061012291	0.0000000	385.21560	0.0000000
159	144	6538.60	0.089471506	0.0000000	373.73638	0.0000000
160	144	6539.00	0.060243199	0.0000000	338.50791	0.0000000
161	144	6539.40	0.040405172	0.0000000	187.36654	0.0000000
162	144	6539.80	0.023307344	0.0000000	205.78349	0.0000000
163	144	6539.60	0.043830865	0.0000000	422.40896	0.0000000
164	144	6539.80	0.044946853	0.0000000	-486.58045	0.0000000
165 	144	0.0	0.0		0.0		0.0		0.0
166	144	6540.00	0.023189321	0.0000000	440.67861	0.0000000
167	144	6540.20	0.0078726220	0.0000000	260.69573	0.0000000
168	144	6540.40	0.0088295734	0.0000000	431.70359	0.0000000
169	144	6540.40	0.0073344098	0.0000000	478.91602	0.0000000
170	144	6540.40	0.014413720	0.0000000	474.18822	0.0000000
171	144	6540.40	0.012984726	0.0000000	471.24848	0.0000000
172 	144	0.0	0.0		0.0		0.0		0.0
173	144	6540.40	0.0037822368	0.0000000	463.03508	0.0000000
174	144	6540.40	0.00039156514	0.0000000	447.21550	0.0000000
148	145	6538.00	0.037413950	0.0000000	-460.59392	0.0000000
149	145	6538.00	0.043163789	0.0000000	461.28019	0.0000000
150	145	6538.00	0.030337640	0.0000000	461.53828	0.0000000
151	145	6538.20	0.027086487	0.0000000	-460.83506	0.0000000
152	145	6538.20	0.022509220	0.0000000	455.27145	0.0000000
153	145	6538.20	0.046796080	0.0000000	180.56930	0.0000000
154	145	6538.20	0.017829716	0.0000000	415.34455	0.0000000
155	145	6538.20	0.015096837	0.0000000	381.13079	0.0000000
156	145	6538.20	0.043684937	0.0000000	327.49822	0.0000000
157	145	6538.40	0.038281136	0.0000000	384.66734	0.0000000
158	145	6538.40	0.043043472	0.0000000	322.52977	0.0000000
159	145	6538.40	0.021989603	0.0000000	219.10646	0.0000000
160	145	6538.80	0.050669890	0.0000000	208.25869	0.0000000
161	145	6539.00	5.3338780e-12	0.0000000	1.8630179       0.0000000
162 	145	0.0	0.0		0.0		0.0		0.0
163	145	6539.60	0.10267856	0.0000000	-405.37289	0.0000000
164	145	6539.80	0.081911000	0.0000000	432.54695	0.0000000
165	145	6540.20	0.062372832	0.0000000	445.39576	0.0000000
166	145	6540.20	0.051359837	0.0000000	432.91500	0.0000000
167	145	6540.20	0.017447200	0.0000000	436.08035	0.0000000
168	145	6540.40	0.017872169	0.0000000	-426.68256	0.0000000
169	145	6540.20	0.017990330	0.0000000	469.05744	0.0000000
170 	145	0.0	0.0		0.0		0.0		0.0
171 	145	0.0	0.0		0.0		0.0		0.0
172	145	6540.40	0.019401829	0.0000000	480.68242	0.0000000
173	145	6540.40	0.013269936	0.0000000	467.94178	0.0000000
174	145	6540.80	1.3709057e-09	0.0000000	433.65658	0.0000000
148	146	6538.00	0.027429785	0.0000000	439.54488	0.0000000
149	146	6538.00	0.038880879	0.0000000	-298.84848	0.0000000
150 	146	0.0	0.0		0.0		0.0		0.0
151	146	6538.00	0.0015575250	0.0000000	452.28063	0.0000000
152	146	6538.20	2.4433083e-06	0.0000000	-315.42521	0.0000000
153	146	6538.20	1.6430247e-08	0.0000000	-456.19516	0.0000000
154	146	6538.20	4.2847163e-09	0.0000000	451.35509	0.0000000
155	146	6538.20	0.014503672	0.0000000	430.82521	0.0000000
156	146	6538.40	0.028790959	0.0000000	407.57447	0.0000000
157	146	6538.40	0.055888302	0.0000000	394.78991	0.0000000
158	146	6538.40	0.054208400	0.0000000	384.55279	0.0000000
159	146	6538.60	0.083516076	0.0000000	235.99188	0.0000000
160	146	6543.40	0.080946562	0.0000000	215.64394	0.0000000
161	146	6546.00	0.21412894	0.0000000	318.77211       0.0000000
162	146	6543.10	0.055394221	0.0000000	201.45252	0.0000000
