#YY	XX	wav	flux		flux_err	fwhm		vel
172	145	6577.40	0.059126021	840.08998	480.68242	0.0000000
173	145	6577.40	0.040439410	951.53616	467.94178	0.0000000
174	145	6578.60	4.1782673e-09	585.18188	433.65658	0.0000000
148	146	6580.30	0.083658340	496.37565	439.54488	0.0000000
149	146	6579.20	0.11856331	438.26471	-298.84848	0.0000000
150	146	0.0	0.0		0.0		0.0		0.0
151	146	6580.00	0.0047500924	649.96057	452.28063	0.0000000
152	146	6580.20	7.4515259e-06	450.83062	-315.42521	0.0000000
153	146	6580.40	5.0109978e-08	431.55177	-456.19516	0.0000000
154	146	6580.60	1.3068189e-08	193.93107	451.35509	0.0000000
155	146	6579.20	0.044226126	525.93669	430.82521	0.0000000
156	146	6579.60	0.087795083	519.91433	407.57447	0.0000000
157	146	6579.80	0.17043084	539.28529	394.78991	0.0000000
158	146	6577.90	0.16526027	303.99380	384.55279	0.0000000
159	146	6577.80	0.25459627	165.13251	235.99188	0.0000000
160	146	6577.80	0.24658217	165.91183	215.64394	0.0000000
161	146	6581.30	0.17867647	167.49642	111.92696	0.0000000
162	146	6578.00	0.16875663	194.69679	201.45252	0.0000000
163	146	6579.50	0.34588553	455.08630	-412.44635	0.0000000
164	146	0.0	0.0		0.0		0.0		0.0
165	146	6577.00	0.097047371	540.66479	444.22892	0.0000000
166	146	6577.20	0.044617215	588.80936	-394.56730	0.0000000
167	146	0.0	0.0		0.0		0.0		0.0
168	146	6577.20	0.036957488	630.17334	-372.45750	0.0000000
169	146	6577.20	0.042528711	833.29751	463.48033	0.0000000
170	146	6577.20	0.011839854	928.22919	463.70162	0.0000000
171	146	6577.40	0.063550258	807.23102	471.68200	0.0000000
172	146	6577.40	0.060642091	807.41035	469.55118	0.0000000
173	146	6577.40	1.8666754e-09	208.09425	484.47717	0.0000000
174	146	6577.80	8.7912207e-09	818.52749	466.52823	0.0000000
148	147	0.0	0.0		0.0		0.0		0.0
149	147	0.0	0.0		0.0		0.0		0.0
150	147	0.0	0.0		0.0		0.0		0.0
151	147	0.0	0.0		0.0		0.0		0.0
152	147	0.0	0.0		0.0		0.0		0.0
153	147	0.0	0.0		0.0		0.0		0.0
154	147	0.0	0.0		0.0		0.0		0.0
155	147	0.0	0.0		0.0		0.0		0.0
156	147	0.0	0.0		0.0		0.0		0.0
157	147	0.0	0.0		0.0		0.0		0.0
158	147	0.0	0.0		0.0		0.0		0.0
159	147	6576.80	0.10512264	224.92860	337.11324	0.0000000
160	147	6576.80	0.093941294	242.60155	330.39426	0.0000000
161	147	6576.80	1.2969521e-05	0.41944230	0.023486480	0.0000000
162	147	6576.80	0.11786688	206.71358	232.31463	0.0000000
163	147	6579.00	0.20403702	451.20616	407.42416	0.0000000
